name,state,longitude,latitude,full_address
Adrian,OR,-117.0718261,43.7407155,Adrian OR
Applegate,OR,-123.1683833,42.2570662,Applegate OR
Baker City,OR,-117.8343848,44.7748748,Baker City OR
Bandon,OR,-124.408448,43.1189978,Bandon OR
Blue River,OR,-122.3387108,44.1539359999999,Blue River OR
Boardman,OR,-119.7005834,45.839855,Boardman OR
Bonanza,OR,-121.4061076,42.1987607,Bonanza OR
Brookings,OR,-124.2839819,42.0526114,Brookings OR
Burns,OR,-119.0541032,43.5862606,Burns OR
Tulelake,CA,-121.477687,41.954885,Tulelake CA
Canby,OR,-122.6921558,45.2622049999999,Canby OR
Cave Junction,OR,-123.6481235,42.1628912,Cave Junction OR
Coburg,OR,-123.0664761,44.1370689,Coburg OR
Cottage Grove,OR,-123.0595246,43.797623,Cottage Grove OR
Dallas,OR,-123.3170472,44.9192844,Dallas OR
Deadwood,OR,-123.7634387,44.0956754,Deadwood OR
Dorris,CA,-121.91806,41.9673696,Dorris CA
Dunes City,OR,-124.1151165,43.8831751,Dunes City OR
Dunsmuir,CA,-122.2719529,41.2082089,Dunsmuir CA
Enterprise,OR,-117.2787816,45.4262617,Enterprise OR
Estacada,OR,-122.3338032,45.2944367,Estacada OR
Florence,OR,-124.099841,43.9826214,Florence OR
Grants Pass,OR,-123.3283925,42.4390069,Grants Pass OR
Halfway,OR,-117.1146172,44.880715,Halfway OR
Happy Camp,CA,-123.3785705,41.792654,Happy Camp CA
Heppner,OR,-119.5577997,45.3531842,Heppner OR
Hermiston,OR,-119.2894604,45.8404101,Hermiston OR
Hood River,OR,-121.5214623,45.7053966,Hood River OR
Irrigon,OR,-119.4914118,45.8956885,Irrigon OR
Kerby,OR,-123.651735,42.1942797,Kerby OR
Madras,OR,-121.1294872,44.6334544,Madras OR
Malin,OR,-121.4086021,42.0126551,Malin OR
Mapleton,OR,-123.8595462,44.0312703,Mapleton OR
McKenzie Bridge,OR,-122.1639473,44.1751238,McKenzie Bridge OR
Merrill,OR,-121.6005501,42.0251516,Merrill OR
Molalla,OR,-122.5756477,45.1462914,Molalla OR
Monroe,OR,-123.2967637,44.3140116,Monroe OR
Mount Shasta,CA,-122.3105666,41.3098746,Mount Shasta CA
Newberg,OR,-122.9469406,45.3064628,Newberg OR
O'Brien,OR,-123.7028585,42.0668843,O'Brien OR
Ontario,OR,-116.9629378,44.0265525,Ontario OR
Powers,OR,-124.073152,42.8834435,Powers OR
Prineville,OR,-120.8344664,44.2998485,Prineville OR
Riddle,OR,-123.3642332,42.9509507,Riddle OR
Ruch,OR,-123.0422659,42.2365133,Ruch OR
Scappoose,OR,-122.8777897,45.7544422,Scappoose OR
Etna,CA,-122.89402,41.457705,Etna CA
Selma,OR,-123.6161053,42.2793208,Selma OR
Sisters,OR,-121.5492119,44.2909491,Sisters OR
Swisshome,OR,-123.7992733,44.0578979,Swisshome OR
Takilma,OR,-123.6183329,42.0516669999999,Takilma OR
Union,OR,-117.8652126,45.2084696,Union OR
Vida,OR,-122.5733529,44.1470308,Vida OR
Warm Springs,OR,-121.2661625,44.7634519,Warm Springs OR
Weed,CA,-122.3861269,41.4226497999999,Weed CA
Willamina,OR,-123.4859416,45.0787251,Willamina OR
Williams,OR,-123.2739548,42.2187354,Williams OR
Winston,OR,-123.4125724,43.1223383,Winston OR
Woodburn,OR,-122.8553724,45.143731,Woodburn OR
Yreka,CA,-122.6344709,41.7354186,Yreka CA
